type,template_names,label_fr
LexicalUseDomain,fauconnerie,Fauconnerie
LexicalUseDomain,ferroviaire,Ferroviaire
LexicalUseDomain,finance,Finance
LexicalUseDomain,fiscalité,Fiscalité
LexicalUseDomain,fontainerie,Fontainerie
LexicalUseDomain,football,Football
LexicalUseDomain,foresterie,Foresterie
LexicalUseDomain,franc-maçonnerie,Franc-maçonnerie
LexicalUseDomain,généalogie,Généalogie
LexicalUseDomain,génétique,Génétique
LexicalUseDomain,géographie,Géographie
LexicalUseDomain,géologie,Géologie
LexicalUseDomain,géomatique,Géomatique
LexicalUseDomain,géométrie,Géométrie
LexicalUseDomain,géophysique,Géophysique
LexicalUseDomain,géostatistique,Géostatistique
LexicalUseDomain,glaciologie,Glaciologie
LexicalUseDomain,golf,Golf
LexicalUseDomain,grammaire,Grammaire
LexicalUseDomain,gravure,Gravure
LexicalUseDomain,gymnastique,Gymnastique
LexicalUseDomain,handball,Handball
LexicalUseDomain,handisport,Handisport
LexicalUseDomain,héraldique,Héraldique
LexicalUseDomain,hindouisme,Hindouisme
LexicalUseDomain,hippisme,Hippisme
LexicalUseDomain,hippologie,Hippologie
LexicalUseDomain,histoire,Histoire
LexicalUseDomain,histologie,Histologie
LexicalUseDomain,hockey,Hockey
LexicalUseDomain,horlogerie,Horlogerie
LexicalUseDomain,horticulture,Horticulture
LexicalUseDomain,hydraulique,Hydraulique
LexicalUseDomain,hydrobiologie,Hydrobiologie
LexicalUseDomain,hydrologie,Hydrologie
LexicalUseDomain,hygiène,Hygiène
LexicalUseDomain,ichtyologie,Ichtyologie
LexicalUseDomain,illégalité,Illégalité
LexicalUseDomain,imprimerie,Imprimerie
LexicalUseDomain,industrie,Industrie
LexicalUseDomain,infographie,Infographie
LexicalUseDomain,informatique,Informatique
LexicalUseDomain,intelligence artificielle,Intelligence artificielle
LexicalUseDomain,internet,Internet
LexicalUseDomain,islam,Islam
LexicalUseDomain,jardinage,Jardinage
LexicalUseDomain,jazz,Jazz
LexicalUseDomain,jeu de go,Jeu de go
LexicalUseDomain,jeu de paume,Jeu de paume
LexicalUseDomain,jeux,Jeux
LexicalUseDomain,jeux vidéo,Jeux vidéo
LexicalUseDomain,jonglerie,Jonglerie
LexicalUseDomain,journalisme,Journalisme
LexicalUseDomain,judaïsme,Judaïsme
LexicalUseDomain,judo,Judo
LexicalUseDomain,justice,Justice
LexicalUseDomain,karaté,Karaté
LexicalUseDomain,langage Java,Langage Java
LexicalUseDomain,législation,Législation
LexicalUseDomain,lexicographie,Lexicographie
LexicalUseDomain,LGBT,LGBT
LexicalUseDomain,linguistique,Linguistique
LexicalUseDomain,littérature,Littérature
LexicalUseDomain,liturgie,Liturgie
LexicalUseDomain,livre,Livre
LexicalUseDomain,logique,Logique
LexicalUseDomain,logistique,Logistique
LexicalUseDomain,loisirs,Loisirs
LexicalUseDomain,lutherie,Lutherie
LexicalUseDomain,maçonnerie,Maçonnerie
LexicalUseDomain,magnétisme,Magnétisme
LexicalUseDomain,mah-jong,Mah-jong
LexicalUseDomain,maintenance,Maintenance
LexicalUseDomain,marbrerie,Marbrerie
LexicalUseDomain,maréchalerie,Maréchalerie
LexicalUseDomain,marine,Marine
LexicalUseDomain,maroquinerie,Maroquinerie
LexicalUseDomain,mathématiques,Mathématiques
LexicalUseDomain,mécanique,Mécanique
LexicalUseDomain,médecine,Médecine
LexicalUseDomain,médecine non conv,Médecine non conv
LexicalUseDomain,médecine vétérinaire,Médecine vétérinaire
LexicalUseDomain,média,Média
LexicalUseDomain,menuiserie,Menuiserie
LexicalUseDomain,mercatique,Mercatique
LexicalUseDomain,metal,Metal
LexicalUseDomain,métallurgie,Métallurgie
LexicalUseDomain,météorologie,Météorologie
LexicalUseDomain,métrologie,Métrologie
LexicalUseDomain,meunerie,Meunerie
LexicalUseDomain,microbiologie,Microbiologie
LexicalUseDomain,militaire,Militaire
LexicalUseDomain,minéralogie,Minéralogie
LexicalUseDomain,miroiterie,Miroiterie
LexicalUseDomain,monarchie,Monarchie
LexicalUseDomain,morphologie végétale,Morphologie végétale
LexicalUseDomain,motocyclisme,Motocyclisme
LexicalUseDomain,Moyen Âge,Moyen Âge
LexicalUseDomain,muscle,Muscle
LexicalUseDomain,musculation,Musculation
LexicalUseDomain,muséologie,Muséologie
LexicalUseDomain,musique,Musique
LexicalUseDomain,mycologie,Mycologie
LexicalUseDomain,mythologie,Mythologie
LexicalUseDomain,narratologie,Narratologie
LexicalUseDomain,natation,Natation
LexicalUseDomain,navigation,Navigation
LexicalUseDomain,neurologie,Neurologie
LexicalUseDomain,noblesse,Noblesse
LexicalUseDomain,nosologie,Nosologie
LexicalUseDomain,novlangue,Novlangue
LexicalUseDomain,nucléaire,Nucléaire
LexicalUseDomain,numismatique,Numismatique
LexicalUseDomain,nutrition,Nutrition
LexicalUseDomain,occultisme,Occultisme
LexicalUseDomain,océanographie,Océanographie
LexicalUseDomain,oenologie;œnologie,Oenologie
LexicalUseDomain,optimisation,Optimisation
LexicalUseDomain,optique,Optique
LexicalUseDomain,orgues,Orgues
LexicalUseDomain,ornement,Ornement
LexicalUseDomain,ornithologie,Ornithologie
LexicalUseDomain,paléographie,Paléographie
LexicalUseDomain,paléontologie,Paléontologie
LexicalUseDomain,papeterie,Papeterie
LexicalUseDomain,patinage,Patinage
LexicalUseDomain,pâtisserie,Pâtisserie
LexicalUseDomain,pêche,Pêche
LexicalUseDomain,pédologie,Pédologie
LexicalUseDomain,peinture,Peinture
LexicalUseDomain,pelote basque,Pelote basque
LexicalUseDomain,pétanque,Pétanque
LexicalUseDomain,pétrochimie,Pétrochimie
LexicalUseDomain,pharmacologie,Pharmacologie
LexicalUseDomain,phénologie,Phénologie
LexicalUseDomain,phénoménologie,Phénoménologie
LexicalUseDomain,philatélie,Philatélie
LexicalUseDomain,philosophie,Philosophie
LexicalUseDomain,phonétique,Phonétique
LexicalUseDomain,phonologie,Phonologie
LexicalUseDomain,photographie,Photographie
LexicalUseDomain,physiologie,Physiologie
LexicalUseDomain,physique,Physique
LexicalUseDomain,phytosociologie,Phytosociologie
LexicalUseDomain,planche à neige,Planche à neige
LexicalUseDomain,planche à roulettes,Planche à roulettes
LexicalUseDomain,plomberie,Plomberie
LexicalUseDomain,plongée,Plongée
LexicalUseDomain,poésie,Poésie
LexicalUseDomain,poker,Poker
LexicalUseDomain,police,Police
LexicalUseDomain,politique,Politique
LexicalUseDomain,préhistoire,Préhistoire
LexicalUseDomain,prestidigitation,Prestidigitation
LexicalUseDomain,probabilités,Probabilités
LexicalUseDomain,programmation informatique,Programmation informatique
LexicalUseDomain,programmation orientée objet,Programmation orientée objet
LexicalUseDomain,propriété,Propriété
LexicalUseDomain,psychanalyse,Psychanalyse
LexicalUseDomain,psychiatrie,Psychiatrie
LexicalUseDomain,psychologie,Psychologie
LexicalUseDomain,pyrotechnie,Pyrotechnie
LexicalUseDomain,raffinage,Raffinage
LexicalUseDomain,regex,Regex
LexicalUseDomain,relations internationales,Relations internationales
LexicalUseDomain,religion,Religion
LexicalUseDomain,reliure,Reliure
LexicalUseDomain,renseignement,Renseignement
LexicalUseDomain,reproduction,Reproduction
LexicalUseDomain,réseaux informatiques,Réseaux informatiques
LexicalUseDomain,rhétorique,Rhétorique
LexicalUseDomain,robotique,Robotique
LexicalUseDomain,rugby,Rugby
LexicalUseDomain,saliculture,Saliculture
LexicalUseDomain,saut en hauteur,Saut en hauteur
LexicalUseDomain,science-fiction,Science-fiction
LexicalUseDomain,sciences,Sciences
LexicalUseDomain,Scrabble,Scrabble
LexicalUseDomain,sculpture,Sculpture
LexicalUseDomain,serrurerie,Serrurerie
LexicalUseDomain,sexualité,Sexualité
